Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Offices interstate,Number of external WA consultants,Industries Serviced,Number of full-time WA inhouse consultants,Total staff in WA,Percentage of Business-Other,Core business,Notable clients,Percentage of Business - Consulting,Offices in WA,Fee Per Hour,Ultimate holding company,Is the organisation headquartered in WA?,Types of consulting practiced
Scyne Advisory,20,,"Iara Morris(Managing Director, WA Lead)",2023,8,,Public sector and government agencies in…Public sector and government agencies in Australia.,90,90,,"Supporting public purpose organisations to build…Supporting public purpose organisations to build more resilient, secure, equitable and prosperous communities. Scyne is conflict free from the for-profit private sector, with rigorous governance and accountability frameworks and ethical standards.",,,1,,,Yes,"Strategy & Transformation,
Finance,
Risk &…Strategy & Transformation,
Finance,
Risk & Cyber,
Data & Digital,
Infrastructure & Property"
Plexus Global Consultants,,,,2006,,,,,,,,,,,,,,
Fitzpatrick & Co Advisory,,,,2022,,,,,,,,,,,,,,
Consilium Corporate,,,Ranko Matic(Managing Director),,,,,,,,,,,,,,,
Saferight,,,Mack McCormack(Managing Director),1990,,,,,,,,,,,,,Yes,
Entrepreneurs in Residence,193,,Greg Riebe(Executive Director),2000,,2,,2,2,,"Entrepreneurs in Residence Pty Ltd (eir) unites…Entrepreneurs in Residence Pty Ltd (eir) unites leading experts and
industry practitioners with early-stage businesses to transform, scale and sustain innovative-driven ventures.",,,,,,Yes,"ScaleUps (innovation-driven SMEs):
- Scale-Ready…ScaleUps (innovation-driven SMEs):
- Scale-Ready Diagnostic 
- Strategic Positioning for Investment and Harvest
- Export Market Readniess
- Business Transformation 
- Advisory

StartUps:
- Commercialisation
- Investment Readiness Diagnostic (Investor-Venture Fit)
- Mentoring

Capital & Finance: 
- Angel Investors
- Equity Crowdfunding
- Venture Capital"
Lime Theory,144,,"Matt Neil(Director, Principal Consultant)",2019,,,"Mining, education, government, construction,…Mining, education, government, construction, engineering",4,10,,,,,1,,,Yes,"Business intelligence, data analytics, IT, data…Business intelligence, data analytics, IT, data platform, management consulting, Power BI"
Bailey Abbott Group,,,Glen Appleton(Managing Director WA),2020,,,,,,,,,,,,,,
EMJ Consulting,192,128,Melanie Grohovaz(Director),2013,,5,All,NFP,NFP,50%,Insolvency Service,Please enquire with Directors,50%,1,$650,,Yes,"Corporate Restructuring through formal insolvency…Corporate Restructuring through formal insolvency appointments or informal debt arrangements.
Insolvency appointments including Liquidation, Small Business Restructure, Voluntary Administration and Receivership.
Advisory services to directors and/creditors when dealing with other insolvency practitioners for e.g. where the directors appoint and administrator."
KPMG,8,8,"Trevor Hart(Partner of Audit & Assurance, Global Head of Mining, WA Chair)",1907,13,,"Oil and gas, energy, mining, renewables, water…Oil and gas, energy, mining, renewables, water and electrical utilities, education, defence, defence services, infrastructure, government & healthcare, power & utilities, financial services, industrial markets, consumer markets.",206,610,,,,,1,,,Yes,"Analytics, information & modelling, business…Analytics, information & modelling, business transformation, customer & operations, demographics, economics, financial management, people & change, policy, programs & evaluation, strategy, technology, actuarial, board advisory, climate change & sustainability, financial risk management, forensic, internal audit risk & control, social media intelligence, infrastructure & asset advisory, cyber & digital."
McGrathNicol,39,28,"Rob Kirman(Partner, Restructuring )",2004,6,,"Mining services, resources, agriculture, property…Mining services, resources, agriculture, property and construction, retail, transport, manufacturing, infrastructure.",31,45,,Advisory and Restructuring,,,1,,,,"Forensic, governance, risk & compliance, strategy…Forensic, governance, risk & compliance, strategy and business improvement, technology and transactions."
FTI Consulting,84,77,"Stuart Downes(Managing Director, Construction, Projects )",1982,4,NFP,"Construction, oil and gas, mining, shipbuilding,…Construction, oil and gas, mining, shipbuilding, agriculture, healthcare, technology, contracting, manufacturing, transport & logistics, retail.",NFP,NFP,,"Disputes & Advisory, Strategic Advisory &…Disputes & Advisory, Strategic Advisory & Management Consulting, International Arbitration, Asset Management, Portfolio, Program & Project Management, Technology Enablement & Data Intelligence.","WA Health, St John of God Health Care, Sara Lee,…WA Health, St John of God Health Care, Sara Lee, Sun Cable Services Australia Pty Ltd, Energy Co",100%,1,Variable,,,"Strategic Communications, Corporate Finance and…Strategic Communications, Corporate Finance and Restructuring, Construction Projects & Assets, Economic and Financial Consulting, Healthcare & Human Services, Forensic & Litigation Consulting."
Component6,,,,2003,,,,,,,,,,,,,,
AGuyIKnow,,,,2015,,44,"Mining, Government, Oil & Gas, Defence,…Mining, Government, Oil & Gas, Defence, Engineering",NFP,15,,AGuyIKnow is a technology company that provides…AGuyIKnow is a technology company that provides muti-tiered Training Solutions.,"BHP, CBH, Coles, Rio Tinto, TedxPerth, ASC, CEWA,…BHP, CBH, Coles, Rio Tinto, TedxPerth, ASC, CEWA, Core Lithium, Energy Queensland, South32, UWA, Dart Institute, ASC, Relationships Australia, St John, Titles Queensland, Anindilyakwa, EpilepsyWA",36%,,,,Yes,"Managed Services, Learning Architecture, Project…Managed Services, Learning Architecture, Project Management"
Accenture,4,3,"John Pascoe(Managing Director, Perth Clients & Energy)",2007,6,50,"Energy, oil & gas, mining, utilities,…Energy, oil & gas, mining, utilities, infrastructure, manufacturing, health and public service.",NFP,450,40%,"Consulting, Technology, Industry X for WA.","All tier 1 mining and energy clients, key WA…All tier 1 mining and energy clients, key WA branded clients.",60%,2,$100-$1000+,Accenture International Limited,Yes,"Strategy, consulting, digital, technology,…Strategy, consulting, digital, technology, industry X, digital marketing and operations/outsourcing."
Hewshott,156,,"Peter Hunt(Founder, Group Chief Executive, MD for Australia)",2002,,,,5,7,,"Independent consulting - acoustics, IT, audio…Independent consulting - acoustics, IT, audio visual, Theatre",,,1,,,Yes,"Acoustics, ICT, Theatre, Audio Visual"
Alphabiz Solutions,53,47,"Shadi Kheder(Director, Business Development)",2009,1,5,"Manufacturing, METS, Job & Service Management,…Manufacturing, METS, Job & Service Management, Wholesale & Distribution, Retail, Not-for-Profit.",20,25,25%,"ERP: business management systems, payroll & HRM…ERP: business management systems, payroll & HRM systems, business intelligence, software development.","Peel Mining, Ross North Homes, Work Clobber,…Peel Mining, Ross North Homes, Work Clobber, British Sausage Company, Playgroup WA, Aboriginal Legal Service, Adventure World, LTR Medical, Work Clobber, Ross North Homes, Peel Mining, Stefani.",75%,1,200,,Yes,Information Systems - ERP & Payroll Systems…Information Systems - ERP & Payroll Systems. Software Development. Business Intelligence Development. Software Consulting & Project Management.
Interfuze,58,107,,2018,,,"Health, Mining, Government, Insurance,…Health, Mining, Government, Insurance, Infrastructure, Energy",20,22,30%,"We’re a technology consultancy that prides…We’re a technology consultancy that prides ourselves on providing the best fit solution to your business and needs, via  the pragmatic application of proven emerging technologies. With seven years of consistently high ratings from our quarterly client surveys backing our 'quality' moniker.  We aim to providing businesses with real value, and getting that value to you as early as possible.  

Interfuze is able to support you at any point on your digital journey, from high level roadmaps, solution & data architecture, advice on SaaS solutions, writing custom code to integrate or build what you can't buy (putting the 'Inter' and 'fuze' into Interfuze)  and creating insightful reports over data that we can set up to be well governed, all delivered in a commercially pragmatic manner aligned to your core business via our team of PM's and BA's.","Rio Tinto, Fortescue, WAPHA, East Metropolitan…Rio Tinto, Fortescue, WAPHA, East Metropolitan Health Service, Keystart, Arc Infrastructure,",100%,1,,Interfuze,Yes,"Microsoft Gold Partner & Atlassian Gold Partner. …Microsoft Gold Partner & Atlassian Gold Partner. 
Digital transformation, digital strategy, enterprise architecture, solution architecture, data governance and architecture, systems integration, custom application and integration development, Azure Cloud Solutions & DevOps. Microsoft PowerPlatform solutions. Atlassian Platform implementations (project & portfolio management, service desks, business processes). All underpinned by Agile delivery. IT Business Analyst, Project Management and Change Management delivery services. Business Process Improvement and Workplace tools."
Visagio,17,16,"Monique Mattos Vimercati(Managing Partner, Director)",2011,4,,"Mining, oil and gas, agribusiness, banking,…Mining, oil and gas, agribusiness, banking, education, government, retail, not-for-profit, transport/logistics.",140,150,,"Management consulting, technology consulting.","Alcoa, Anglo American, BHP, Fortescue, Goldfields…Alcoa, Anglo American, BHP, Fortescue, Goldfields, Hancock Iron, Pacific National, Rio Tinto, WA Government, Wesfarmers, The Kids Institute",100%,1,,,Yes,"Management and technology consulting - AI,…Management and technology consulting - AI, business and digital transformation, advanced analytics, operations research and management sciences."
Deloitte,3,2,"Tim Richards(Managing Partner, Western Australia )",1891,8,,"Energy and resources, financial services, public…Energy and resources, financial services, public sector, health, utilities, manufacturing.",637,882,,"Strategy – growth and transformation, Analytics…Strategy – growth and transformation, Analytics and Cognitive, Digital Customer and Marketing, Platform Engineering, Business Operations, Human Capital, Actuarial, Technology Strategy and Transformation, Enterprise Technology, Finance and Performance.  We also offer a full suite of digital services, covering digital strategy, user experience, content, creative, engineering and implementation across mobile, web and social media channels.",,,1,,,,"Strategy – growth and transformation, Analytics…Strategy – growth and transformation, Analytics and Cognitive, Digital Customer and Marketing, Platform Engineering, Business Operations, Human Capital, Actuarial, Technology Strategy and Transformation, Enterprise Technology, Finance and Performance.  We also offer a full suite of digital services, covering digital strategy, user experience, content, creative, engineering and implementation across mobile, web and social media channels."
First Focus,100,73,Neil Smith(Chief People Officer),2003,5,20,All industries,7,30,,,,,1,,,,IT Consulting
JourneyOne,11,11,Charandeep Chhabra(Chief Executive),2010,1,10,"Mining, oil and gas, health, education,…Mining, oil and gas, health, education, government, insurance, not-for-profit, utilities, banking and finance, transport, startups",155,155,10%,"JourneyOne is a team of business and technology…JourneyOne is a team of business and technology consultants who combine strategy, technology, and human insight to deliver lasting transformation. Services include advisory, strategy development, enterprise and solution architecture, cloud-native software development, cloud platform implementation, complex program/project execution and agile delivery. JourneyOne is an AWS and Microsoft Partner.","Woodside; Fortescue; Arc Infrastructure; BHP;…Woodside; Fortescue; Arc Infrastructure; BHP; Murdoch University; Department of Health; Department of Finance; Department of Mines, Industry Regulation and Safety; Australian Energy Market Operator; AFG",90%,1,,,Yes,"Digital and IT strategy, advisory, architecture,…Digital and IT strategy, advisory, architecture, digital transformation, project execution, software development, agile delivery."
iCatalyst,33,,,2021,3,17,,34,41,40%,"Microsoft Business Applications advisory,…Microsoft Business Applications advisory, implementation, delivery and on-going support services","Western Australia Return Recycle Renew Limited …Western Australia Return Recycle Renew Limited (WARRRL), Scitech, Helloworld, Progility Global, ECA WA, Gold Educational Tours, Catholic Education WA, Inflatable Packers International, ICON Engineering",60%,1,,,Yes,"ERP Implementation, CRM Implementation, Cloud…ERP Implementation, CRM Implementation, Cloud Transformation, IT Consulting, Digital Transformation"
